image_id,caption,score
img_0,Funny caption 0 for img_0 with chaos,1
img_0,Funny caption 1 for img_0 with chaos,2
img_0,Funny caption 2 for img_0 with chaos,3
img_1,Funny caption 0 for img_1 with chaos,1
img_1,Funny caption 1 for img_1 with chaos,2
img_1,Funny caption 2 for img_1 with chaos,3
img_2,Funny caption 0 for img_2 with chaos,1
img_2,Funny caption 1 for img_2 with chaos,2
img_2,Funny caption 2 for img_2 with chaos,3
img_3,Funny caption 0 for img_3 with chaos,1
img_3,Funny caption 1 for img_3 with chaos,2
img_3,Funny caption 2 for img_3 with chaos,3
img_4,Funny caption 0 for img_4 with chaos,1
img_4,Funny caption 1 for img_4 with chaos,2
img_4,Funny caption 2 for img_4 with chaos,3
img_5,Funny caption 0 for img_5 with chaos,1
img_5,Funny caption 1 for img_5 with chaos,2
img_5,Funny caption 2 for img_5 with chaos,3
